consulta,plano,tentativa,tempo
inter_09,baseline,13,0.018516700016334653
inter_09,baseline,14,0.02478559996234253
inter_09,baseline,15,0.018754599965177476
inter_09,baseline,16,0.018212099967058748
inter_09,baseline,17,0.020101800037082285
inter_09,baseline,18,0.01811870001256466
inter_09,baseline,19,0.01862530002836138
inter_09,baseline,20,0.019248299999162555
inter_10,baseline,1,0.013094800000544637
inter_10,baseline,2,0.016692799981683493
inter_10,baseline,3,0.013961400021798909
inter_10,baseline,4,0.01597319997381419
inter_10,baseline,5,0.014314199972432107
inter_10,baseline,6,0.015075100003741682
inter_10,baseline,7,0.01635980000719428
inter_10,baseline,8,0.014021800016053021
inter_10,baseline,9,0.014342800015583634
inter_10,baseline,10,0.014345300034619868
inter_10,baseline,11,0.013918299984652549
inter_10,baseline,12,0.015486200049053878
inter_10,baseline,13,0.013954700028989464
inter_10,baseline,14,0.014848000020720065
inter_10,baseline,15,0.01662509999005124
inter_10,baseline,16,0.015261500026099384
inter_10,baseline,17,0.01717459998326376
inter_10,baseline,18,0.014089300006162375
inter_10,baseline,19,0.01382039999589324
inter_10,baseline,20,0.013865600049030036
avanc_01,baseline,1,0.04356969997752458
avanc_01,baseline,2,0.04073559999233112
avanc_01,baseline,3,0.04320909996749833
avanc_01,baseline,4,0.04478409996954724
avanc_01,baseline,5,0.04360820003785193
avanc_01,baseline,6,0.045010200003162026
avanc_01,baseline,7,0.04481719998875633
avanc_01,baseline,8,0.04363639996154234
avanc_01,baseline,9,0.04464330000337213
avanc_01,baseline,10,0.04494779999367893
avanc_01,baseline,11,0.04263709997758269
avanc_01,baseline,12,0.04703240003436804
avanc_01,baseline,13,0.03874099999666214
avanc_01,baseline,14,0.05023059999803081
avanc_01,baseline,15,0.05604160000802949
avanc_01,baseline,16,0.03783230000408366
avanc_01,baseline,17,0.04910429997835308
avanc_01,baseline,18,0.039131500001531094
avanc_01,baseline,19,0.04398610000498593
avanc_01,baseline,20,0.04072779999114573
avanc_02,baseline,1,2.6384435999789275
avanc_02,baseline,2,2.3440651000128128
avanc_02,baseline,3,2.417135199997574
avanc_02,baseline,4,2.363924599951133
avanc_02,baseline,5,2.367864199972246
avanc_02,baseline,6,2.39119799999753
avanc_02,baseline,7,2.352726500015706
avanc_02,baseline,8,2.997083099966403
avanc_02,baseline,9,2.5497819000156596
avanc_02,baseline,10,2.6620024000294507
avanc_02,baseline,11,2.8611155000398867
avanc_02,baseline,12,2.4911209999700077
avanc_02,baseline,13,2.368543199962005
avanc_02,baseline,14,2.412825600011274
avanc_02,baseline,15,2.3750974999857135
avanc_02,baseline,16,2.364479800045956
avanc_02,baseline,17,2.370613000006415
avanc_02,baseline,18,2.37374519999139
avanc_02,baseline,19,2.371365800034255
avanc_02,baseline,20,2.368017300032079
avanc_03,baseline,1,0.13149579998571426
avanc_03,baseline,2,0.14445929997600615
avanc_03,baseline,3,0.1196934999898076
avanc_03,baseline,4,0.12344420002773404
avanc_03,baseline,5,0.12098639999749139
avanc_03,baseline,6,0.12317490001441911
avanc_03,baseline,7,0.12241290003294125
avanc_03,baseline,8,0.12142899999162182
avanc_03,baseline,9,0.1209666000213474
avanc_03,baseline,10,0.12261179997585714
avanc_03,baseline,11,0.12260419997619465
avanc_03,baseline,12,0.12000059999991208
avanc_03,baseline,13,0.12279920000582933
avanc_03,baseline,14,0.11992409999947995
avanc_03,baseline,15,0.12439420004375279
avanc_03,baseline,16,0.12578179995762184
avanc_03,baseline,17,0.11974969995208085
avanc_03,baseline,18,0.12089459999697283
avanc_03,baseline,19,0.12582869996549562
avanc_03,baseline,20,0.12100460001965985
avanc_04,baseline,1,0.06707220000680536
avanc_04,baseline,2,0.06530329998349771
avanc_04,baseline,3,0.06629250000696629
avanc_04,baseline,4,0.06810759997460991
